,date,B8A,NDVI,Name,reducer,NDDI,B11,B12,SAVI,GVMI,B1,B2,B3,B4,B5,B6,MNDWI,B7,B8,B9,EVI
0,2018-12-14T18:22:09,0.38122899425364865,0.07652630766271887,Shoshone Tribe,mean,-2.1099005431770594,0.20677127919923638,0.17229661977108388,0.05024062584824333,0.41290122435924936,0.22708188695255277,0.27558227480257114,0.308852190240978,0.3514008944808392,0.36754596425915237,0.3688618449324483,0.11295660861768303,0.37181874748481525,0.39002271102645364,0.3783484756743673,0.058221366383509575
1,2018-12-14T18:22:09,0.3549685708899307,0.1589368314819956,Hellyer Tribal Lease,mean,-2.858433543672089,0.21931339982043502,0.15853394322229367,0.11165967570367616,0.42960292889436746,0.09306419838998774,0.14943144355116753,0.19628708454082333,0.2662551269834764,0.2932210568958428,0.306879789640731,-0.10202516627715058,0.3238370862071336,0.3543290089964107,0.34781746731102875,0.11510805294511074
2,2018-12-16T18:12:11,0.29706585689014475,0.11702919208601303,Shoshone Tribe,mean,-2.695047311360652,0.26521013293677964,0.20139482273910625,0.07333094681060634,0.2756863951532198,0.09997984760580379,0.14264873647133483,0.19101969172898672,0.24280355556265165,0.26306676591124495,0.2698616766728911,-0.19941225618129346,0.277653756208863,0.29701078171132395,0.29385178405611473,0.07743443543191782
3,2018-12-16T18:12:11,0.3161102821854203,0.19135450606029236,Hellyer Tribal Lease,mean,-2.7898029269000477,0.2576596413516224,0.1750226659453858,0.12570896696307318,0.3522731975268531,0.03282541213699844,0.08022933290082751,0.14073136796784547,0.21558905183620788,0.2457393510050345,0.26137873134695816,-0.3182216289874967,0.27980971006688454,0.3104785508938996,0.3121820090550576,0.11663155372579731
4,2018-12-19T18:22:07,0.22587950962630796,0.164542423186107,Shoshone Tribe,mean,-2.7454679512269182,0.3023651533853134,0.22436850840906675,0.08834314307694717,0.14145523201150134,0.02683392833054466,0.06696882793580491,0.11059553182970953,0.16163900370515946,0.18230729417444383,0.1918606299299378,-0.4670182116952686,0.20352114563677196,0.22257993576102106,0.22702764682628998,0.08856867078273291
5,2018-12-19T18:22:07,0.25701855026550857,0.24348790132385298,Hellyer Tribal Lease,mean,-2.8935555493807175,0.26833182186011595,0.17285504555093362,0.13801629906727952,0.28762877412385823,0.005176723268325403,0.035172506764378164,0.08351798844737479,0.15204195694662484,0.18132113269920982,0.19839134556885038,-0.527369543992924,0.2190004151464966,0.24921990448216524,0.2591379395856995,0.12415024644606434
6,2018-12-21T18:12:14,0.22888164836774255,0.16550142260433712,Shoshone Tribe,mean,-2.9886076471496636,0.3212355311001129,0.2504414862370565,0.0923846815916966,0.10300940594391086,0.030232644735924553,0.08136348035277234,0.11645937320287814,0.1659844322333719,0.18554440676507955,0.19550994068077324,-0.46675158206223594,0.20778980175732173,0.23047086171984976,0.2289419135160783,0.09874235834392842
7,2018-12-21T18:12:14,0.26237125029287617,0.24103537701214534,Hellyer Tribal Lease,mean,-3.0465550730392597,0.2844265477669512,0.1930284157785202,0.14095033554468434,0.2556738065579517,0.006636091538714877,0.05054974694473042,0.09286917559281667,0.1596168256057664,0.18766898022811876,0.20471534186334495,-0.5111080474757286,0.22536353956443528,0.25995350225914904,0.26169143057691274,0.13474710038601026
8,2018-12-24T18:22:12,0.22548544009134913,0.16032429490164887,Shoshone Tribe,mean,-2.8048376748776245,0.31371124957162133,0.2496378123982357,0.08740335225906973,0.09098855479370598,0.027274548569797313,0.07509423197739597,0.11110619255518345,0.16147933006150145,0.18158434475113944,0.19184503181040574,-0.4779917858347995,0.20397402841037449,0.22200558561133332,0.2262761581575962,0.09212167202161314
9,2018-12-24T18:22:12,0.2606837711880257,0.23735646306717906,Hellyer Tribal Lease,mean,-2.9173646579109627,0.27555607770731333,0.19276979314540696,0.13671059471599487,0.24648595688463537,0.007679581181851194,0.0443612884691975,0.08746008523673617,0.15572732858913574,0.18444321225139967,0.202014458311101,-0.5212203647478941,0.22319860580870335,0.2525403356079773,0.26172711712900215,0.12833412632924937
10,2018-12-29T18:22:09,,,Shoshone Tribe,mean,,,,,,,,,,,,,,,,
11,2018-12-29T18:22:09,,,Hellyer Tribal Lease,mean,,,,,,,,,,,,,,,,
12,2018-12-31T18:12:17,0.6959168385967632,0.006292138855482075,Shoshone Tribe,mean,-2.9420468763586203,0.1357955799927921,0.14220365782028074,0.007403798937053071,0.6749536249081282,0.7448065819261364,0.753834579154546,0.7148527609205363,0.727274444117226,0.739975711563617,0.723574931456938,0.6802876059860006,0.709943489653333,0.7362997275684378,0.7076609126332332,0.049091557466088113
13,2018-12-31T18:12:17,0.6703113245012564,0.021320161927506194,Hellyer Tribal Lease,mean,-3.8772686857639784,0.15069332581088207,0.1538225990342732,0.0246361775631008,0.6461578642316929,0.6732391911023886,0.6852912106520528,0.6574186859784785,0.6799568306857439,0.6949447091636227,0.6842815060361959,0.6265845279633274,0.6764642376006084,0.70927514407847,0.6842701573672854,0.11275845046434835
14,2019-01-03T18:22:14,,,Shoshone Tribe,mean,,,,,,,,,,,,,,,,
15,2019-01-03T18:22:14,,,Hellyer Tribal Lease,mean,,,,,,,,,,,,,,,,
16,2019-01-05T18:12:14,0.7680737754700153,-0.006038265534819955,Shoshone Tribe,mean,-0.09372467389946552,0.0681136503187439,0.06895239189510075,-0.009147587576584165,0.8147919343159052,0.761071938870568,0.7772935374892144,0.7989265147562123,0.8123536172908219,0.8260067454200638,0.8040383167858601,0.8299539404274473,0.7794822218651389,0.7975994373073031,0.7752575290552565,-0.07479249035289191
