date,Name,B8A,NDVI,reducer,B11,B12,B1,B2,B3,B4,B5,B6,B7,B8,B9
2018-12-14T18:22:09,Shoshone Tribe,0.38122899425364865,0.07652630751439773,mean,0.20677127919923638,0.17229661977108388,0.22708188695255277,0.27558227480257114,0.3088521902893647,0.35140089458768187,0.36754596425915237,0.3688618449324483,0.37181874748481525,0.39002271091636015,0.3783484756743673
2018-12-14T18:22:09,Hellyer Tribal Lease,0.3549685708899307,0.15893683165531772,mean,0.21931339982043502,0.15853394322229367,0.09306419838998774,0.14943144355116753,0.19628708448433044,0.26625512686727365,0.2932210568958428,0.306879789640731,0.3238370862071336,0.3543290090137096,0.34781746731102875
2018-12-16T18:12:11,Shoshone Tribe,0.29706585689014475,0.11702919188346711,mean,0.26521013293677964,0.20139482273910625,0.09997984760580379,0.14264873647133483,0.19101969159405965,0.24280355559853212,0.26306676591124495,0.2698616766728911,0.277653756208863,0.2970107816230565,0.29385178405611473
2018-12-16T18:12:11,Hellyer Tribal Lease,0.3161102821854203,0.19135450588250905,mean,0.2576596413516224,0.1750226659453858,0.03282541213699844,0.08022933290082751,0.1407313679259214,0.2155890518770684,0.2457393510050345,0.26137873134695816,0.27980971006688454,0.31047855079711656,0.3121820090550576
2018-12-19T18:22:07,Shoshone Tribe,0.22587950962630796,0.16454242322427548,mean,0.3023651533853134,0.22436850840906675,0.02683392833054466,0.06696882793580491,0.11059553183288659,0.16163900368869863,0.18230729417444383,0.1918606299299378,0.20352114563677196,0.22257993573217125,0.22702764682628998
2018-12-19T18:22:07,Hellyer Tribal Lease,0.25701855026550857,0.24348790135822138,mean,0.26833182186011595,0.17285504555093362,0.005176723268325403,0.035172506764378164,0.08351798831695988,0.15204195691809116,0.18132113269920982,0.19839134556885038,0.2190004151464966,0.24921990443853337,0.2591379395856995
2018-12-21T18:12:14,Shoshone Tribe,0.22888164836774255,0.16550142270593846,mean,0.3212355311001129,0.2504414862370565,0.030232644735924553,0.08136348035277234,0.11645937312027822,0.16598443220487244,0.18554440676507955,0.19550994068077324,0.20778980175732173,0.23047086169654493,0.2289419135160783
2018-12-21T18:12:14,Hellyer Tribal Lease,0.26237125029287617,0.24103537705384528,mean,0.2844265477669512,0.1930284157785202,0.006636091538714877,0.05054974694473042,0.0928691754956258,0.1596168254927711,0.18766898022811876,0.20471534186334495,0.22536353956443528,0.2599535020663798,0.26169143057691274
2018-12-24T18:22:12,Shoshone Tribe,0.22548544009134913,0.16032429483557714,mean,0.31371124957162133,0.2496378123982357,0.027274548569797313,0.07509423197739597,0.1111061925699548,0.16147933006175877,0.18158434475113944,0.19184503181040574,0.20397402841037449,0.22200558559160616,0.2262761581575962
2018-12-24T18:22:12,Hellyer Tribal Lease,0.2606837711880257,0.23735646323806914,mean,0.27555607770731333,0.19276979314540696,0.007679581181851194,0.0443612884691975,0.08746008519510998,0.15572732854164145,0.18444321225139967,0.202014458311101,0.22319860580870335,0.25254033561202843,0.26172711712900215
2018-12-29T18:22:09,Shoshone Tribe,,,mean,,,,,,,,,,,
2018-12-29T18:22:09,Hellyer Tribal Lease,,,mean,,,,,,,,,,,
2018-12-31T18:12:17,Shoshone Tribe,0.6959168385967632,0.006292138700291613,mean,0.1357955799927921,0.14220365782028074,0.7448065819261364,0.753834579154546,0.7148527621311775,0.7272744450351333,0.739975711563617,0.723574931456938,0.709943489653333,0.736299728217045,0.7076609126332332
2018-12-31T18:12:17,Hellyer Tribal Lease,0.6703113245012564,0.021320161751953042,mean,0.15069332581088207,0.1538225990342732,0.6732391911023886,0.6852912106520528,0.6574186858353104,0.6799568307072784,0.6949447091636227,0.6842815060361959,0.6764642376006084,0.7092751437403352,0.6842701573672854
2019-01-03T18:22:14,Shoshone Tribe,,,mean,,,,,,,,,,,
2019-01-03T18:22:14,Hellyer Tribal Lease,,,mean,,,,,,,,,,,
2019-01-05T18:12:14,Shoshone Tribe,0.7680737754700153,-0.006038265543596291,mean,0.0681136503187439,0.06895239189510075,0.761071938870568,0.7772935374892144,0.7989265153314213,0.812353618024856,0.8260067454200638,0.8040383167858601,0.7794822218651389,0.7975994380209042,0.7752575290552565
2019-01-05T18:12:14,Hellyer Tribal Lease,0.6350394046580686,0.05031682727587042,mean,0.1025108255577452,0.08465897915505843,0.4912613978731759,0.5082674906427145,0.5489724152035955,0.5987994180860924,0.6263062264591143,0.6239468949168441,0.6212407527274459,0.6490757448911504,0.6444888425810077
2019-01-08T18:22:11,Shoshone Tribe,0.6611969028225548,0.010008638339086237,mean,0.08744818988551378,0.07910712719469819,0.6229980442003862,0.6470088888422739,0.6697771733318776,0.6921193761207238,0.701926655328492,0.6862608458979939,0.6685435146659235,0.6915121469677737,0.6661023350146388
2019-01-08T18:22:11,Hellyer Tribal Lease,0.4823127658286305,0.09375945827335466,mean,0.14124068529198047,0.10112702675563559,0.30021713756637725,0.32822342415292266,0.3698457485631816,0.42598699051768857,0.45067214634775504,0.4553161148608078,0.4609908073649357,0.4920750463188113,0.49428723658329543
2019-01-13T18:22:15,Shoshone Tribe,0.6173751556036519,0.0014512470288961193,mean,0.13927498876610586,0.15425188764968586,0.6166844622804152,0.6411896840147375,0.6430242098590943,0.6507577001232888,0.6564720216316513,0.6424585173890689,0.6298184333623905,0.647230228026717,0.6256558174506399
